RXDDRGID,RXDDRUG,RXDINGFL,RXDDCI1A,RXDDCI1B,RXDDCI1C,RXDDCI2A,RXDDCI2B,RXDDCI2C,RXDDCI3A,RXDDCI3B,RXDDCI3C,RXDDCI4A,RXDDCI4B,RXDDCI4C,RXDICI1A,RXDICI1B,RXDICI1C,RXDICI2A,RXDICI2B,RXDICI2C,RXDICI3A,RXDICI3B,RXDICI3C,RXDICI4A,RXDICI4B,RXDICI4C,RXDICI5A,RXDICI5B,RXDICI5C,RXDICI6A,RXDICI6B,RXDICI6C,RXDDCN1A,RXDDCN1B,RXDDCN1C,RXDDCN2A,RXDDCN2B,RXDDCN2C,RXDDCN3A,RXDDCN3B,RXDDCN3C,RXDDCN4A,RXDDCN4B,RXDDCN4C,RXDICN1A,RXDICN1B,RXDICN1C,RXDICN2A,RXDICN2B,RXDICN2C,RXDICN3A,RXDICN3B,RXDICN3C,RXDICN4A,RXDICN4B,RXDICN4C,RXDICN5A,RXDICN5B,RXDICN5C,RXDICN6A,RXDICN6B,RXDICN6C
a11518,CONJUGATED ESTROGENS; PROGESTERONE,2.0,97.0,101.0,186.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,101.0,183.0,97.0,101.0,185.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,SEX HORMONES,SEX HORMONE COMBINATIONS,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,HORMONES/HORMONE MODIFIERS,SEX HORMONES,PROGESTINS,,,,,,,,,,,,
a11692,AMYLASE; LIPASE; PROTEASE,2.0,87.0,91.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.0,91.0,nan,87.0,96.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GASTROINTESTINAL AGENTS,DIGESTIVE ENZYMES,,,,,,,,,,,GASTROINTESTINAL AGENTS,DIGESTIVE ENZYMES,,GASTROINTESTINAL AGENTS,MISCELLANEOUS GI AGENTS,,,,,,,,,,,,,
a51865,DIPHENIDOL,1.0,57.0,65.0,198.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,65.0,198.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,MISCELLANEOUS ANTIEMETICS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,MISCELLANEOUS ANTIEMETICS,,,,,,,,,,,,,,,
a52024,ENCAINIDE,1.0,40.0,46.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,46.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANTIARRHYTHMIC AGENTS,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIARRHYTHMIC AGENTS,,,,,,,,,,,,,,,,
a52060,ERYTHRITYL TETRANITRATE,1.0,40.0,53.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,53.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,VASODILATORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASODILATORS,,,,,,,,,,,,,,,,
a52445,GLUTETHIMIDE,1.0,57.0,67.0,70.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,67.0,70.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS,,,,,,,,,,,,,,,
a53990,NYLIDRIN HYDROCHLORIDE,1.0,40.0,53.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,53.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,VASODILATORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASODILATORS,,,,,,,,,,,,,,,,
a54115,OXYGEN,1.0,105.0,110.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,105.0,110.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,,,,,,
a54760,PRAZEPAM,1.0,57.0,67.0,69.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,67.0,69.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,BENZODIAZEPINES,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,BENZODIAZEPINES,,,,,,,,,,,,,,,
a55465,STANNOUS FLUORIDE,1.0,133.0,146.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,146.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,MOUTH AND THROAT PRODUCTS,,,,,,,,,,,TOPICAL AGENTS,MOUTH AND THROAT PRODUCTS,,,,,,,,,,,,,,,,
a55548,SULFAMETHAZINE,1.0,1.0,15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTI-INFECTIVES,SULFONAMIDES,,,,,,,,,,,ANTI-INFECTIVES,SULFONAMIDES,,,,,,,,,,,,,,,,
a55570,SULFAPYRIDINE,1.0,1.0,15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTI-INFECTIVES,SULFONAMIDES,,,,,,,,,,,ANTI-INFECTIVES,SULFONAMIDES,,,,,,,,,,,,,,,,
a55820,THYROGLOBULIN,1.0,97.0,103.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,103.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,THYROID HORMONES,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,THYROID HORMONES,,,,,,,,,,,,,,,,
a56545,NITRAZEPAM,1.0,57.0,67.0,69.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,67.0,69.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,BENZODIAZEPINES,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,BENZODIAZEPINES,,,,,,,,,,,,,,,
a57014,ERYTHROPOIETIN,1.0,28.0,36.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.0,36.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BIOLOGICALS,ERYTHROPOIESIS-STIMULATING AGENTS,,,,,,,,,,,BIOLOGICALS,ERYTHROPOIESIS-STIMULATING AGENTS,,,,,,,,,,,,,,,,
a59812,DOMPERIDONE,1.0,57.0,65.0,198.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,65.0,198.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,MISCELLANEOUS ANTIEMETICS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,MISCELLANEOUS ANTIEMETICS,,,,,,,,,,,,,,,
a70010,SEROTONIN,1.0,242.0,249.0,209.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,242.0,249.0,209.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,TRICYCLIC ANTIDEPRESSANTS,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,TRICYCLIC ANTIDEPRESSANTS,,,,,,,,,,,,,,,
a70248,ESTRIOL,1.0,97.0,101.0,183.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,101.0,183.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,,,,,,,,,,,,,,,
a70444,CINNARIZINE,1.0,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
a70491,HYOSCYNAMINE SULFATE,1.0,87.0,355.0,89.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.0,355.0,89.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GASTROINTESTINAL AGENTS,FUNCTIONAL BOWEL DISORDER AGENTS,ANTICHOLINERGICS/ANTISPASMODICS,,,,,,,,,,GASTROINTESTINAL AGENTS,FUNCTIONAL BOWEL DISORDER AGENTS,ANTICHOLINERGICS/ANTISPASMODICS,,,,,,,,,,,,,,,
a70573,PENTAERYTHRITOL TETRANITRATE,1.0,40.0,53.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,53.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,VASODILATORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASODILATORS,,,,,,,,,,,,,,,,
a70987,SQUARIC ACID,1.0,105.0,110.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,105.0,110.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,,,,,,
a71066,DEFLAZACORT,1.0,97.0,98.0,301.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,98.0,301.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,ADRENAL CORTICAL STEROIDS,GLUCOCORTICOIDS,,,,,,,,,,HORMONES/HORMONE MODIFIERS,ADRENAL CORTICAL STEROIDS,GLUCOCORTICOIDS,,,,,,,,,,,,,,,
c00001,ANTI-INFECTIVES - UNSPECIFIED,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTI-INFECTIVES,,,,,,,,,,,,ANTI-INFECTIVES,,,,,,,,,,,,,,,,,
c00017,URINARY ANTI-INFECTIVES - UNSPECIFIED,0.0,1.0,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTI-INFECTIVES,URINARY ANTI-INFECTIVES,,,,,,,,,,,ANTI-INFECTIVES,URINARY ANTI-INFECTIVES,,,,,,,,,,,,,,,,
c00019,ANTIHYPERLIPIDEMIC AGENTS - UNSPECIFIED,0.0,358.0,19.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,358.0,19.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,,,,,,,,,,,METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,,,,,,,,,,,,,,,,
c00020,ANTINEOPLASTICS - UNSPECIFIED,0.0,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTINEOPLASTICS,,,,,,,,,,,,ANTINEOPLASTICS,,,,,,,,,,,,,,,,,
c00039,MISCELLANEOUS BIOLOGICALS - UNSPECIFIED,0.0,254.0,39.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,254.0,39.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IMMUNOLOGIC AGENTS,MISCELLANEOUS BIOLOGICALS,,,,,,,,,,,IMMUNOLOGIC AGENTS,MISCELLANEOUS BIOLOGICALS,,,,,,,,,,,,,,,,
c00040,CARDIOVASCULAR AGENTS - UNSPECIFIED,0.0,40.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,,,,,,,,,,,,CARDIOVASCULAR AGENTS,,,,,,,,,,,,,,,,,
c00047,BETA-ADRENERGIC BLOCKING AGENTS - UNSPECIFIED,0.0,40.0,47.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,47.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,,,,,,,,,,,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,,,,,,,,,,,,,,,,
c00049,DIURETICS - UNSPECIFIED,0.0,40.0,49.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,49.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,DIURETICS,,,,,,,,,,,CARDIOVASCULAR AGENTS,DIURETICS,,,,,,,,,,,,,,,,
c00055,ANTIHYPERTENSIVE COMBINATIONS - UNSPECIFIED,0.0,40.0,55.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,55.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANTIHYPERTENSIVE COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIHYPERTENSIVE COMBINATIONS,,,,,,,,,,,,,,,,
c00057,CENTRAL NERVOUS SYSTEM AGENTS - UNSPECIFIED,0.0,57.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,,,,,,,,,,,,,,,,,
c00058,ANALGESICS - UNSPECIFIED,0.0,57.0,58.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,,,,,,,,,,,,,,,,
c00059,MISCELLANEOUS ANALGESICS - UNSPECIFIED,0.0,57.0,58.0,59.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,59.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,MISCELLANEOUS ANALGESICS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,MISCELLANEOUS ANALGESICS,,,,,,,,,,,,,,,
c00061,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS - UNSPECIFIED,0.0,57.0,58.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,,,,,,
c00067,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS - UNSPECIFIED,0.0,57.0,67.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,67.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,,,,,,,,,,,,,,,,
c00071,CNS STIMULANTS - UNSPECIFIED,0.0,57.0,71.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,71.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,,,,,,
c00073,MUSCLE RELAXANTS - UNSPECIFIED,0.0,57.0,73.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,73.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,MUSCLE RELAXANTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,MUSCLE RELAXANTS,,,,,,,,,,,,,,,,
c00087,GASTROINTESTINAL AGENTS - UNSPECIFIED,0.0,87.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GASTROINTESTINAL AGENTS,,,,,,,,,,,,GASTROINTESTINAL AGENTS,,,,,,,,,,,,,,,,,
c00088,ANTACIDS - UNSPECIFIED,0.0,87.0,88.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.0,88.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GASTROINTESTINAL AGENTS,ANTACIDS,,,,,,,,,,,GASTROINTESTINAL AGENTS,ANTACIDS,,,,,,,,,,,,,,,,
c00090,ANTIDIARRHEALS - UNSPECIFIED,0.0,87.0,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.0,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GASTROINTESTINAL AGENTS,ANTIDIARRHEALS,,,,,,,,,,,GASTROINTESTINAL AGENTS,ANTIDIARRHEALS,,,,,,,,,,,,,,,,
c00096,MISCELLANEOUS GI AGENTS - UNSPECIFIED,0.0,87.0,96.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.0,96.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GASTROINTESTINAL AGENTS,MISCELLANEOUS GI AGENTS,,,,,,,,,,,GASTROINTESTINAL AGENTS,MISCELLANEOUS GI AGENTS,,,,,,,,,,,,,,,,
c00097,HORMONES/HORMONE MODIFIERS - UNSPECIFIED,0.0,97.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,,,,,,,,,,,,,,,,,
c00098,ADRENAL CORTICAL STEROIDS - UNSPECIFIED,0.0,97.0,98.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,98.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,ADRENAL CORTICAL STEROIDS,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,ADRENAL CORTICAL STEROIDS,,,,,,,,,,,,,,,,
